event_id,timestamp,user_id,employee_name,department,role,location,resource_type,action_type,records_accessed,historical_avg_access,risk_score,anomaly_score,threat_type,severity,label
EVT00001,2026-06-28 07:47:00,U4657,Raghav Iyengar,HR,Analyst,Pune,Database,Download,49,45,3,0.009,None,Low,Normal
EVT00002,2026-05-25 18:56:00,U9928,Bachittar Sethi,Operations,Manager,Delhi,File,Read,558,537,11,0.209,None,Low,Normal
EVT00003,2026-09-03 02:24:00,U2674,Raagini Goda,Finance,System Admin,Bangalore,File,Delete,158,179,17,0.242,None,Low,Normal
EVT00004,2026-10-03 15:22:00,U2291,Vasudha Nagarajan,Marketing,Developer,Pune,File,Write,483,569,5,0.014,None,Low,Normal
EVT00005,2026-06-19 12:18:00,U2654,Zaitra Chawla,Operations,Developer,Delhi,File,Write,377,316,24,0.107,None,Low,Normal
EVT00006,2026-02-21 23:50:00,U3803,Zilmil Bhardwaj,Marketing,Manager,Hyderabad,Cloud Storage,Download,866,738,18,0.297,None,Low,Normal
EVT00007,2026-08-25 03:15:00,U1916,Maya Kalita,HR,Analyst,Mumbai,Cloud Storage,Delete,523,590,5,0.063,None,Low,Normal
EVT00008,2026-06-04 19:55:00,U9179,Balhaar Tailor,Operations,System Admin,Hyderabad,File,Write,996,917,16,0.223,None,Low,Normal
EVT00009,2026-10-18 20:01:00,U6930,Turvi Keer,HR,Manager,Chennai,Cloud Storage,Read,810,784,4,0.258,None,Low,Normal
EVT00010,2026-02-16 06:13:00,U7304,Veer Mahal,Operations,Executive,Delhi,File,Read,3111,183,91,0.916,Credential Abuse,Critical,Threat
EVT00011,2026-11-27 09:23:00,U1053,Neelima Gola,Legal,Developer,Chennai,API,Read,4185,465,97,0.888,Privilege Escalation,High,Threat
EVT00012,2026-01-01 09:59:00,U6310,Samaksh Dada,Operations,Analyst,Bangalore,File,Delete,187,185,16,0.017,None,Low,Normal
EVT00013,2026-12-20 21:17:00,U2133,Barkha Raju,IT Security,Executive,Hyderabad,API,Download,822,989,11,0.08,None,Low,Normal
EVT00014,2026-05-27 11:22:00,U6107,Jagdish Dixit,Operations,Developer,Delhi,Cloud Storage,Read,537,453,16,0.067,None,Low,Normal
EVT00015,2026-06-10 08:34:00,U1117,Zinal Swaminathan,Finance,Analyst,Hyderabad,Database,Read,635,622,22,0.021,None,Low,Normal
EVT00016,2026-04-07 08:19:00,U8744,Oeshi Acharya,HR,System Admin,Delhi,API,Read,700,705,7,0.198,None,Low,Normal
EVT00017,2026-02-09 10:42:00,U2612,Vansha Kade,Finance,System Admin,Pune,File,Read,434,440,16,0.057,None,Low,Normal
EVT00018,2026-07-22 19:55:00,U8579,Samesh Khatri,HR,Analyst,Delhi,Database,Read,157,163,35,0.251,None,Low,Normal
EVT00019,2026-06-22 03:01:00,U3724,Sanya Sule,Operations,System Admin,Delhi,API,Download,1066,968,4,0.049,None,Low,Normal
EVT00020,2026-11-28 07:50:00,U5673,Kai Trivedi,Operations,Executive,Pune,Cloud Storage,Write,5028,419,76,0.789,Data Exfiltration,High,Threat
EVT00021,2026-12-14 04:28:00,U9238,Ekaja Sandhu,IT Security,Executive,Hyderabad,Database,Read,63,78,12,0.021,None,Low,Normal
EVT00022,2026-10-22 00:29:00,U2964,Chandresh Oommen,Marketing,Manager,Chennai,Database,Read,9922,902,83,0.897,Credential Abuse,Critical,Threat
EVT00023,2026-07-13 09:57:00,U7484,Diya Sandhu,HR,Developer,Delhi,File,Read,697,753,1,0.137,None,Low,Normal
EVT00024,2026-06-05 05:08:00,U9288,Nihal Gupta,Engineering,Manager,Mumbai,Database,Write,101,122,24,0.085,None,Low,Normal
EVT00025,2026-01-06 16:43:00,U5905,Yoshita Ramanathan,Legal,Analyst,Hyderabad,File,Read,622,576,7,0.223,None,Low,Normal
EVT00026,2026-09-07 16:16:00,U4335,Ayush Chaudhuri,Legal,Developer,Chennai,Cloud Storage,Delete,3080,308,98,0.972,Data Exfiltration,High,Threat
EVT00027,2026-01-03 13:57:00,U6464,Jagat Dada,IT Security,Manager,Pune,File,Write,791,869,29,0.166,None,Low,Normal
EVT00028,2026-04-19 12:54:00,U9938,Suhani Das,Finance,Developer,Chennai,API,Download,24,29,9,0.013,None,Low,Normal
EVT00029,2026-01-30 01:12:00,U6862,Avni Sane,HR,Manager,Pune,Database,Delete,1090,975,27,0.292,None,Low,Normal
EVT00030,2026-04-29 07:55:00,U3900,Reva Kala,Operations,Analyst,Hyderabad,File,Download,1133,967,16,0.08,None,Low,Normal
EVT00031,2026-01-29 04:45:00,U8711,Ira Kohli,HR,Manager,Delhi,File,Delete,123,130,15,0.067,None,Low,Normal
EVT00032,2026-02-20 13:12:00,U5573,Sai Behl,Engineering,Executive,Delhi,File,Read,398,428,8,0.263,None,Low,Normal
EVT00033,2026-07-13 07:21:00,U1626,Amara Lall,Finance,Executive,Delhi,File,Delete,727,614,28,0.182,None,Low,Normal
EVT00034,2026-05-19 09:52:00,U5173,Chakrika Bala,Finance,System Admin,Bangalore,API,Delete,480,414,28,0.021,None,Low,Normal
EVT00035,2026-04-01 17:59:00,U5920,Chatura Bhardwaj,Marketing,Developer,Pune,Cloud Storage,Delete,375,358,26,0.209,None,Low,Normal
EVT00036,2026-10-04 02:02:00,U3851,Vasudha Dara,Marketing,Executive,Mumbai,Cloud Storage,Read,209,216,20,0.086,None,Low,Normal
EVT00037,2026-08-23 15:42:00,U8618,Gaurang Bansal,Operations,System Admin,Pune,API,Download,639,613,11,0.198,None,Low,Normal
EVT00038,2026-09-02 01:50:00,U2530,Umang Krishna,IT Security,Manager,Pune,File,Write,736,699,13,0.044,None,Low,Normal
EVT00039,2026-11-28 14:58:00,U7790,Anjali Ghose,Legal,Executive,Hyderabad,Cloud Storage,Download,3036,506,82,0.773,Data Exfiltration,High,Threat
EVT00040,2026-12-05 06:35:00,U1822,Ekapad Sibal,Marketing,Manager,Bangalore,Cloud Storage,Write,212,244,30,0.2,None,Low,Normal
EVT00041,2026-11-19 06:31:00,U9270,Jagat Kala,Operations,Executive,Delhi,API,Download,583,629,29,0.078,None,Low,Normal
EVT00042,2026-12-19 20:56:00,U4919,Oni Tripathi,Engineering,System Admin,Bangalore,File,Write,612,672,18,0.101,None,Low,Normal
EVT00043,2026-06-18 09:35:00,U7275,Ayaan Mannan,Legal,Manager,Pune,API,Read,87,102,27,0.122,None,Low,Normal
EVT00044,2026-11-02 22:32:00,U7381,Victor Balay,IT Security,Executive,Pune,Database,Download,367,445,31,0.002,None,Low,Normal
EVT00045,2026-11-02 02:55:00,U9818,Saumya Choudhary,Legal,Executive,Chennai,API,Download,756,791,15,0.082,None,Low,Normal
EVT00046,2026-10-22 09:56:00,U3704,Anamika Mander,IT Security,System Admin,Hyderabad,Database,Download,390,418,2,0.025,None,Low,Normal
EVT00047,2026-02-06 14:47:00,U5262,Qabil Chatterjee,Operations,Developer,Hyderabad,Cloud Storage,Delete,893,907,22,0.228,None,Low,Normal
EVT00048,2026-11-03 23:22:00,U5133,Ucchal Rout,IT Security,Analyst,Delhi,Database,Read,932,790,23,0.067,None,Low,Normal
EVT00049,2026-01-23 14:17:00,U5051,Utkarsh Dani,HR,Analyst,Chennai,API,Write,5000,1000,74,0.842,Data Exfiltration,High,Threat
EVT00050,2026-05-03 04:19:00,U2876,Balendra Sura,IT Security,Manager,Mumbai,Database,Read,312,282,20,0.173,None,Low,Normal
EVT00051,2026-05-25 10:03:00,U2245,Oviya Sinha,Marketing,Manager,Bangalore,File,Read,387,404,3,0.104,None,Low,Normal
EVT00052,2026-09-06 11:26:00,U1207,Anika Tiwari,IT Security,System Admin,Delhi,Database,Download,330,399,24,0.191,None,Low,Normal
EVT00053,2026-05-09 06:12:00,U9548,Yatan Jain,Legal,Developer,Chennai,Cloud Storage,Download,640,744,28,0.248,None,Low,Normal
EVT00054,2026-03-05 02:32:00,U5569,Bishakha Prabhu,Operations,Manager,Delhi,Cloud Storage,Delete,399,350,2,0.148,None,Low,Normal
EVT00055,2026-07-08 03:02:00,U6576,Qadim Narang,Engineering,Executive,Pune,File,Read,459,519,34,0.284,None,Low,Normal
EVT00056,2026-12-22 18:31:00,U4937,Chaaya Palan,Legal,System Admin,Pune,Cloud Storage,Download,12869,757,95,0.705,Credential Abuse,High,Threat
EVT00057,2026-09-26 17:05:00,U8753,Harshil Kashyap,Marketing,Executive,Mumbai,Cloud Storage,Delete,248,269,23,0.211,None,Low,Normal
EVT00058,2026-05-21 05:39:00,U6169,Zansi Ravel,Finance,Executive,Pune,API,Write,247,277,14,0.222,None,Low,Normal
